자전거는 사서 타세요..... 제발  (오토바이 아님주의),16:43,조회수 196만회,1년 전
모래 속에 묻혀있는 공을 손대지 않고 꺼낼 수 있는 신박한 방법ㅋㅋㅋ,9:15,조회수 14만회,1년 전
세상에서 제일 큰 221cm 인간 전용 엑스박스 컨트롤러ㅋㅋㅋ,27:10,조회수 60만회,1년 전
작품 제작 의뢰가 들어왔습니다ㅋㅋ 누군지 맞혀보세요,1:27,조회수 10만회,1년 전
공돌이가 회사에서 게임하고 싶어서 만든 신박한 장치 (feat. 어몽어스 긴급회의소집),11:01,조회수 79만회,1년 전
"직접만든 레이싱 게임! 다깨면 찐 고인물 인정ㅋㅋㅋ 사나고, 사물궁이, 공돌이용달도 나온다?",14:40,조회수 21만회,1년 전
화약 없이 대포를 쏴보라고 했더니..ㅋㅋㅋ (이과vs문과),14:34,조회수 73만회,1년 전
5천원 짜리 쪼렙 망원경.. 달의 지형까지 관측 가능하다는데? 진짜 될까???,9:21,조회수 66만회,1년 전
내가 원하는 카페 로고로 바뀌는 마법의 머그컵,5:58,조회수 11만회,1년 전
3D프린터로 지저분한 책상 마법같이 정리하기ㅋㅋㅋㅋㅋㅋ,9:34,조회수 39만회,1년 전
해외에서 완전 난리라는 공기우산.. 이게 진짜 될까? 직접 써봤더니..,8:45,조회수 305만회,1년 전
공대생의 야스오는 과학이다,15:05,조회수 7.4만회,1년 전
같이 납땜해요😍 (1일차)｜실시간 납땜 방송❤️｜ 인두기 + 장작 타는 소리｜ASMR｜공돌이｜같이공부해요 아니거든요,4:36:33,조회수 6.2만회,스트리밍 시간: 1년 전
스파게티가 원래 이렇게 강했어요? (챌린지),13:25,조회수 37만회,1년 전
유리컵을 깨보라고 했더니.. (이과vs문과),8:05,조회수 152만회,1년 전
(2탄) 직접만든 탱크로 로켓 발사하고 드리프트까지 해보기ㅋㅋㅋ,16:13,조회수 29만회,1년 전
게임하다 빡쳐서 39일 동안 만든 실사판 탱크,14:56,조회수 62만회,1년 전
빛나는 피라미드가 알고보니... 무한한 에너지를 가졌다고? 와...,7:56,조회수 27만회,1년 전
수소만으로 달리는 자동차를 만든다던데.. 정말로 될까?,14:23,조회수 64만회,1년 전
3D 프린터로 만든 5가지 선물 (사촌 동생 전용),6:46,조회수 50만회,1년 전
파맛 첵스에 초강력 자석을 넣자.. 충격적인 결과가.. 왜 이러는 걸까?,7:45,조회수 49만회,1년 전
강아지는 색을 구분할 수 있을까?,11:54,조회수 7.2만회,1년 전
태양계 밖에서 날아온 의문의 메시지.. 전세계 과학자들이 흥분한 이유 (외계인?),8:09,조회수 31만회,1년 전
3D 프린터도 좋아해달라고...,3:02,조회수 34만회,1년 전
공대생이 만든 술 쏴버리는 마법의 기계,6:27,조회수 18만회,1년 전
예측할 수 없는 난제라 불리는 물리학 실험.. 충격적인 삼중 진자운동,11:33,조회수 206만회,1년 전
실제 전쟁 중 발사된 어느 군인의 총알 하나.. 놀라운 형태로 되살아나다,13:26,조회수 49만회,1년 전
토마토 케첩을 토마토 주스로 만들어주는 마법의 기계,14:22,조회수 41만회,1년 전
다트 100개로 파이(ㅠ)를 구할 수 있는 신박한 게임 (이과 vs 문과),9:58,조회수 18만회,1년 전
ㅋㅋㅋㅋㅋㅋ 터널 ㅋㅋㅋㅋㅋ..... ㅇㅋ,9:43,조회수 36만회,1년 전
친구 놀리려고 일주일만에 만든 모바일 게임ㅋㅋㅋ 출시까지 함ㅋㅋㅋ (+제작과정),11:39,조회수 45만회,1년 전
원래 공돌이들 집은 다 이런 겁니까?ㅋㅋㅋㅋㅋㅋ,9:22,조회수 29만회,1년 전
"더블비님 골드버튼 직접 만들고 부서트리기ㅋㅋㅋ(feat.임다,더블비)",8:15,조회수 94만회,1년 전
비오는 여름.. 뜨거운 물이 없을 때 라면을 끓여먹을 수 있는 과학적인 방법,9:57,조회수 144만회,1년 전
나이키 신발이 살아 남을 수 있을까...? 물로 무늬를 입힌다고.. 와.. (수전사 커스텀 휠라 신발 | Hydro dipping),5:50,조회수 80만회,1년 전
중력을 거스르는 거대 구조물! 직접 만들어봄 (feat. 공돌이용달),11:39,조회수 102만회,1년 전
물리학적으로 이길 수 밖에 없는 내기(로 문과 친구 골탕 먹이기ㅋㅋㅋ),9:55,조회수 255만회,1년 전
"스마트폰 전파로 철 수세미를 불태우는 실험... 상상도 못한 간단한 방법으로 불꽃을 만들 수 있다 (5G, 밀리미터파에 대하여)",11:36,조회수 177만회,1년 전
3초 안에 대답하지 못하면 물벼락을 맞는다고? | 50만 구독자 QnA,12:01,조회수 22만회,1년 전
레이저 포인터 하나로 탈모 진단하는 방법,6:50,조회수 22만회,1년 전
